Kola_Pocet;Kola_Objasneno;Kola_Stihano_Osob;Kola_Stihano_Zen;Kola_Skody_Tisice;Kola_Casova_Znamka;Kola_Mesic;Kola_Rok
22;;4;;489;1-2013;1;2013
35;3;3;;531;2-2013;2;2013
43;11;2;;701;3-2013;3;2013
66;14;5;1;1064;4-2013;4;2013
112;19;4;1;1898;5-2013;5;2013
92;4;2;;1605;6-2013;6;2013
84;11;5;1;1561;7-2013;7;2013
128;20;5;;1989;8-2013;8;2013
102;9;5;1;1605;9-2013;9;2013
72;28;15;1;2434;10-2013;10;2013
38;21;9;;893;11-2013;11;2013
29;11;6;;326;12-2013;12;2013
22;1;3;;388;1-2014;1;2014
27;2;5;1;632;2-2014;2;2014
63;5;6;1;845;3-2014;3;2014
59;10;5;1;1453;4-2014;4;2014
67;19;8;1;775;5-2014;5;2014
74;11;5;;1008;6-2014;6;2014
80;13;8;;1426;7-2014;7;2014
80;13;11;;1623;8-2014;8;2014
78;18;9;;1477;9-2014;9;2014
64;19;10;1;1071;10-2014;10;2014
41;9;7;;643;11-2014;11;2014
34;2;1;;599;12-2014;12;2014
25;;4;;344;1-2015;1;2015
29;3;4;;560;2-2015;2;2015
47;5;2;1;771;3-2015;3;2015
72;5;3;;1318;4-2015;4;2015
95;11;2;;1528;5-2015;5;2015
94;6;3;;1518;6-2015;6;2015
96;25;9;1;1722;7-2015;7;2015
113;9;7;;1691;8-2015;8;2015
76;22;7;1;1115;9-2015;9;2015
82;25;9;;1592;10-2015;10;2015
48;10;4;1;1139;11-2015;11;2015
37;16;2;;754;12-2015;12;2015
23;1;;0;;1-2016;1;2016
29;2;;0;;2-2016;2;2016
27;3;;0;;3-2016;3;2016
56;1;;0;;4-2016;4;2016
65;4;;0;;5-2016;5;2016
67;6;;0;;6-2016;6;2016
101;10;;0;;7-2016;7;2016
75;15;;0;;8-2016;8;2016
95;17;;0;;9-2016;9;2016
63;16;;0;;10-2016;10;2016
45;21;;0;;11-2016;11;2016
23;4;;0;;12-2016;12;2016
17;1;;0;;1-2017;1;2017
22;1;;0;;2-2017;2;2017
29;6;;0;;3-2017;3;2017
44;4;;0;;4-2017;4;2017
56;5;;0;;5-2017;5;2017
76;5;;0;;6-2017;6;2017
95;11;;0;;7-2017;7;2017
67;7;;0;;8-2017;8;2017
85;33;;0;;9-2017;9;2017
66;7;;0;;10-2017;10;2017
71;15;;0;;11-2017;11;2017
24;7;;0;;12-2017;12;2017
30;1;;0;;1-2018;1;2018
29;4;;0;;2-2018;2;2018
23;2;;0;;3-2018;3;2018
45;3;;0;;4-2018;4;2018
50;3;;0;;5-2018;5;2018
65;2;;0;;6-2018;6;2018
91;2;;0;;7-2018;7;2018
71;32;;0;;8-2018;8;2018
51;10;;0;;9-2018;9;2018
55;6;;0;;10-2018;10;2018
53;17;;0;;11-2018;11;2018
39;10;;0;;12-2018;12;2018
22;2;;0;;1-2019;1;2019
25;5;;0;;2-2019;2;2019
34;2;;0;;3-2019;3;2019
40;;0;;0;4-2019;4;2019
46;4;;0;;5-2019;5;2019
62;5;;0;;6-2019;6;2019
54;11;;0;;7-2019;7;2019
97;14;;0;;8-2019;8;2019
68;6;;0;;9-2019;9;2019
70;23;;0;;10-2019;10;2019
