"Index Kriminality";"Zjištěno";"Objasněno- Počet";"Objasněno- Dodatečně";"Stíháno; Vyšetřováno Osob - Mladiství 15-17 Let";"Stíháno; Vyšetřováno Osob - Recidivisté";"Stíháno; Vyšetřováno Osob - Celkem";"Stíháno; Vyšetřováno Osob - Nezletilí 1-14 Let";"Stíháno; Vyšetřováno Osob - Ženy";"Spácháno Skutků - Mladiství 15-17 Let";"Spácháno Skutků - Z Toho Alkohol";"Spácháno Skutků - Pod Vlivem";"Spácháno Skutků - Recidivisté";"Spácháno Skutků - Nezletilí 1-14 Let";"Škody V Tis. Kč - Zajištěno";"Škody V Tis. Kč - Celkem";"Časová Jednotka";"Kód úz.jednotky";"Název úz.jednotky";"Počet Obyv. úz. Jednotky"
"0.3527";"41";"2";"5";"0";"4";"5";"0";"0";"1";"0";"0";"5";"0";"0";"3406";"1-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.3183";"37";"4";"7";"0";"2";"4";"0";"0";"0";"0";"0";"5";"0";"0";"3506";"2-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.5162";"60";"8";"4";"2";"2";"7";"0";"1";"1";"0";"0";"5";"0";"0";"5911";"3-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.2925";"34";"7";"2";"1";"2";"5";"0";"0";"1";"0";"0";"3";"0";"0";"6570";"4-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.4818";"56";"9";"1";"1";"1";"6";"0";"1";"2";"2";"2";"5";"0";"0";"5270";"5-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.4044";"47";"19";"0";"3";"5";"15";"0";"1";"2";"0";"0";"9";"0";"460";"4202";"6-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.3011";"35";"12";"0";"1";"1";"5";"0";"1";"1";"2";"3";"8";"0";"0";"5207";"7-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.2839";"33";"18";"0";"0";"4";"9";"0";"2";"0";"4";"5";"11";"0";"0";"5187";"8-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.3527";"41";"12";"0";"0";"6";"11";"0";"1";"1";"2";"2";"7";"0";"13";"4127";"9-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.5850";"68";"23";"0";"1";"11";"15";"0";"0";"2";"7";"9";"14";"0";"58";"10638";"10-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.4646";"54";"19";"1";"1";"9";"15";"0";"0";"1";"1";"1";"12";"0";"455";"7256";"11-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.5420";"63";"20";"0";"0";"4";"8";"0";"0";"0";"1";"1";"14";"0";"0";"9370";"12-2013";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.4388";"51";"7";"4";"0";"3";"6";"0";"0";"0";"1";"1";"6";"0";"93";"2110";"1-2014";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
"0.4130";"48";"8";"4";"2";"6";"8";"0";"0";"2";"1";"2";"10";"1";"0";"9358";"2-2014";"0600";"KŘP JIHOMORAVSKÉHO KRAJE";"1162318"
